Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
,,SVM(Linear Kernel)                       ,,SVM(LinearSVC),,K nearest Neghbour,,Gaussian Naïve Bayes,,Random Forest,,Decision Trees,,Ada Boosting,,MLPC Classifier,,Gradient Boosting Classifier,,Extra Tree Classifier,
Threshold,No of Words(Value of k),Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score
0,11476,0.99014416,0.84413426,0.983398479,0.66382979,0.9725969823,0.4894283477,0.9828100702,0.7805793991,0.9904383642,0.8439108062,0.9863405203,0.7944339026,0.9875803808,0.8140924819,0.990312,0.842177,0.98863111,0.8271013103,0.9884419787,0.820026178
0.05,9460,0.990333291,0.84532616,0.985373849,0.72003218,0.973900,0.4807692308,0.9828731139,0.7813254628,0.990396,0.84214,0.987097,0.802572,0.988652,0.819639,0.990018,0.842438,0.9885890808,0.8257940327,0.9884419787,0.8175182482
0.1,6909,0.989303577,0.82393635,0.983860799,0.67346939,0.97392,0.458787,0.982179,0.772287,0.989093,0.816283,0.983335,0.738024,0.988631,0.81876,0.986508,0.812827,0.9876644391,0.8030862127,0.9879166141,0.8020654045
0.15,5433,0.989177489,0.81974099,0.985373849,0.74107143,0.972807,0.46573,0.981906,0.76635,0.989156,0.81958,0.981927,0.7224015,0.988,0.808324,0.988988,0.81339,0.98812676,0.8091860858,0.9872231329,0.7916381083
0.2,4407,0.988610095,0.80915493,0.980267306,0.56386438,0.969402,0.459539,0.981864,0.765552,0.988673,0.81134,0.980498,0.704081,0.987286,0.794845,0.988399,0.805359,0.9848484848,0.7661368797,0.9874122641,0.7945111492
0.25,3711,0.986487622,0.77319224,0.971966545,0.21621622,0.96108,0.424129,0.981465,0.7530795,0.9867187,0.7758865,0.9752868,0.6403669,0.985794,0.767057,0.986256,0.761661,0.9847013828,0.7558685446,0.9852687765,0.756173913
0.3,3154,0.985415879,0.76554054,0.975896272,0.40415584,0.956878,0.358348,0.979741,0.7356,0.985373,0.766756,0.9663766,0.585492,0.984932,0.7636,0.984659,0.721374,0.9829151431,0.744259201,0.9841970327,0.7513227513
0.35,2693,0.983356449,0.73315364,0.975896272,0.42735896,0.951372,0.326542,0.977871,0.714865,0.984133,0.7411724,0.9642541,0.560124,0..9828941,0.736569,0.9833984,0.733648,0.9791535326,0.690193629,0.9813180347,0.7070840198
0.4,2162,0.981044845,0.68875086,0.976463666,0.45419103,0.9441432,0.294585,0.97432,0.669908,0.981906,0.70341,0.964653,0.540938,0.972954,0.627496,0.981065,0.648732,0.9757911991,0.6489945155,0.9793426638,0.6769635228
0.45,1721,0.977850628,0.6390411,0.975686126,0.40206718,0.9296641,0.236019,0.97039,0.6243668,0.97946875,0.6534231,0.8448716,0.210549,0.954566,0.483269,0.979027,0.621683,0.8642457866,0.239284032,0.9763165637,0.6289101087
0.5,1329,0.974656412,0.58125,0.97345858,0.33139227,0.943008,0.253303,0.965599,0.5782,0.975265,0.589466,0.900958,0.265544,0.972449,0.5957446,0.975749,0.5690814,0.9414323541,0.4007740271,0.9725759677,0.5807902345
0.55,1009,0.975139747,0.47770419,0.972197705,0.24701195,0.941306,0.2045,0.959841,0..503765,0.975433,0.517938,0.935043,0.313263,0.969192,0.529826,0.971189,0.539469,0.9732484344,0.5435640014,0.9709158156,0.5099150142
0.6,703,0.969823057,0.10137672,0.972302778,0.27978142,0.954209,0.173682,0.95444,0.443817,0.974194,0.446348,0.9012734,0.217782,0.9706216,0.4867841,0.973563,0.453043,0.9716303114,0.4718309859,0.9713571218,0.4614776768
0.65,397,0.968267978,0.00395778,0.968898416,0.07730673,0.9651578,0.0788888,0.938637,0.31775,0.970453,0.276748,0.92163,0.182057,0.9703274,0.311219,0.970243,0.26708,0.9688563863,0.2989593188,0.9689404447,0.3001893939
